name;description;price;available_on;updated_at;product_type_id;attributes;is_featured;is_published;category_id;seo_description;seo_title;charge_taxes;tax_rate;suplier_id;techdescription
Конструктор Solar Space Fleet 7 в 1 на солнечной батарее;"Конструктор Solar Space Fleet 7 в 1 - набор для самостоятельной сборки семи разных моделей. Все детали легко соединяются между собой и не требуют специальных приспособлений для сборки. В комплект входят солнечная и аккумуляторная микробатареи. Роботы приводятся в движение действием прямых солнечных лучей или микробатареями. Солнечная панель работает как от солнечных лучей, так и от света галогеновой лампы.  Микробатарею можно заряжать двумя способами: при помощи щелочных батареек или от солнечной панели.  

";390;;;8;"13=>""34""";False;True;11;;;True;standart;3; Возраст: с 8 лет Вес: 300 гр Размер упаковки: 210*180*70 мм   Можно собрать: Астронавта Шаттл Космическую станцию Луноход Механика Луноход Исследователя Собаку
Конструктор Solar Penguin Life на солнечной батарее;"Конструктор Solar Penguin Life на солнечной батарее - набор для самостоятельной сборки, состоящий из пингвинчика, его домика и панели солнечных батарей. Этот набор наглядно покажет ребенку как солнечная энергия превращается в электрическую. Все детали легко соединяются между собой и не требуют специальных приспособлений для сборки. Заряда хватает на 3 минуты, все это время пингвинчик будет танцевать.  

";280;;;8;"13=>""34""";False;True;11;;;True;standart;3; Возраст: с 5 лет Вес: 220 гр Размер упаковки: 210*180*60 мм  
Конструктор Solar Stallion 3 в 1 на солнечной батарее;"Конструктор Solar Stallion 3 в 1 на солнечной батарее - набор для самостоятельной сборки,  который наглядно покажет ребенку как солнечная энергия превращается в электрическую.   Все детали легко соединяются между собой и не требуют специальных приспособлений для сборки. В комплект входит солнечная батарея. Роботы приводятся в движение действием прямых солнечных лучей. Солнечная панель работает как от солнечных лучей, так и от света галогеновой лампы.   

";280;;;8;"13=>""34""";False;True;11;;;True;standart;3; Возраст: с 5 лет Вес: 120 гр Размер упаковки: 210*180*50 мм    
Конструктор на солнечных батареях Green Life;"Конструктор на солнечных батареях Green Life  - состоит из дома с солненой батареей и машинки с водителем.  Машинка вставляется в домик. При нажатии на кнопку она вылетает из него с большой скоростью.

";255;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер упаковки: 24*18*6 см Вес упаковки: 180 гр Материал: пластик В комплекте: 2 набора деталей, Солнечная батарея Шестеренки Инструкция на англ. языке
Конструктор Bela Building Sydney;"Конструктор Bela Building Sydney - это очень популярный конструктор по тематике архитектура. Можно построить 4 строения современного Сиднея: Сиднейская башня, Сиднейская опера, Дойче банк плейс, Харбор бридж.

";700;;;8;"13=>""34""";False;True;11;;;True;standart;3; Количество деталей: 361 деталь Тип конструтора: блочный Размер коробки: 27*21*5 см Возраст: от 6 лет
Конструктор Bela Building Сhicago;"Конструктор Bela Building Сhicago - это современный конструтор из тематики архитектурные строения. Из него можно построить 6 зданий современного Чикаго: Уииллис-тауэр, Клауд-Гейт, CNA Center, Центр Джона Хэнкока, Ригли Билдинг, Мичиган авеню.

";855;;;8;"13=>""34""";False;True;11;;;True;standart;3; Количество деталей: 444 деталь Тип конструтора: блочный Размер коробки: 28*21*6 см Возраст: от 6 лет
Конструктор Bela Building New York- Museum Solomon R.Guggenheim;"Конструктор Bela Building Музей Соломона Гуггенхейма. Точная копия Нью-Йорского здания - это архитектурный конструктор, который полностью воспроизводит музей Соломона Геггенхейма в Нью-Йорке.

";1470;;;8;"13=>""34""";False;True;11;;;True;standart;3; Количество деталей: 744 деталь Тип конструтора: блочный Размер коробки: 30*28*9 см Размер собранной конструкции: 19*13 см Возраст: от 6 лет
Обучающий цифровой конструктор трансформер Big;"Обучающий цифровой конструктор трансформер - конструктор, состоящий из 10 цифр-трансформеров. Каждая из них трансформируется в военную транспортную технику. Он помогает изучать цифры, математические знаки и цвета.

";800;;;8;"13=>""34""";False;True;11;;;True;standart;3; Возрат: от 3х лет Размер упаковки: 34*25*6 см
Обучающий цифровой конструктор трансформер Small;"Обучающий цифровой конструктор трансформер Small - это конструктор, в котором каждый математический знак и цифра превращаются в робота. Конструктор развивает ребенка и помогает ему изучать цифры, знаки математики и цвета.

";335;;;8;"13=>""34""";False;True;11;;;True;standart;3; Возвраст: от 3х лет
Magic Tracks Мертвая Петля 136 деталей;"Гоночный трек Magic Tracks Мертвая Петля также как и обычный Magic Tracks светится и изгибается, но кроме того он имеет в комплекте мертвая петля, игра с которой станет гораздо интереснее! Машинка оснащена светодиодами. Работает от 2х батареек АА. Кнопка включения находится снизу.      

";550;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер: 36*24*9 см Ширина трека внутренняя: 7 см Ширина трека внешняя: 8 см   В наборе: 136 светящиеся детали трека 1 машинка со светодиодами 5 деталей мертвой петли 2 детали основания петель 2 негнущихся деталей мостика
Конструктор Funny Bricks 81 деталь;"Funny Bricks  — стремительно набирающий популярность в рунете, конструктор для детей от трех лет и старше. Забавная, увлекательная игрушка придется по душе каждому малышу. Игрушка — конструктор развивает ментальные способности у детей, моторику, сообразительность и фантазию, отличный подарок для детей от 3 лет и старше. Игрушка изготовлена из безопасных материалов, не токсична и не несет вред ребенку. Качественный, набирающий популярность товар по адекватной цене на котором можно хорошо заработать.

";240;;;8;"13=>""34""";False;True;11;;;True;standart;3;" Упаковка: картонная коробка; Материал: экологически чистый пластик; Количество деталей: 81 шт; Возраст: от 3-ох лет; Вес: 340 гр.   ВИДЕО &gt;&gt;&gt;   ЗДЕСЬ"
Конструктор-присоска 20 деталей;"Конструктор-присоска  - это уникальный набор разноцветных чудо-присосок различной формы, из которых можно создать ассу самых невероятных конструкций! Просто прижмите присоску к гладкой поверхности или соедините с другой из комплекта. Ребенок будет в восторге от того, как быстро и легко у него получается собирать различных животных, здания, растения и все, что подскажет его фантазия. Конструктор отлично подходитдля игр с водой, особенно в ванне. Чудо-присоски быстро завоюют место п овсей квартире, в сумках родителей и в рюкзаках детей. Он станет прекрасным развлечением для ребенка в дороге, ведь его можно прикрепить к окну машины

";440;;;8;"13=>""34""";False;True;11;;;True;standart;3; Производитель -  Китай Материал - силикон Пол - для мальчиков и девочек Рекомендуемый возраст - от 3 до 8 лет Контейнер для хранения - есть Деталей - 20 шт. Средний размер детали - 9 см
Гоночный трек Magic Tracks 220 деталей;"Гоночный трек Magic Tracks, состоящий из 220 деталей, в комплекте со светящейся машинкой. Машинка оснащена тремя светодиодами, работает от одной батарейки АА . Это очень популярная новинка! Мы рекомендуем использовать в темноте. Сама дорога светится в темноте, предварительно ее нужно подержать на солнце, тем самым ""зарядив"".  Гнется в разные стороны, можно создавать препятсвия, мосты, туннели и прочее, главное проявить фантазию!  

";270;;;8;"13=>""34""";False;True;11;;;True;standart;3;  Вес: 500 гр В комплекте: Скоростная машинка 1шт. 220 светящихся деталей дороги
Дополнительные машинки для Magic Tracks;"     

";85;;;8;"13=>""34""";False;True;11;;;True;standart;3; Питание: пальчиковая батарейка АА 1шт. Цвета: красный, синий
Magic Tracks Мертвая Петля 366+Х деталей;"Гоночный трек Magic Tracks Мертвая Петля также как и обычный Magic Tracks светится и изгибается, но кроме того он имеет в комплекте мертвую петлю, играть с которой вдвойне интереснее. Машинка оснащена светодиодами. Работает от 2х батареек АА. Кнопка включения находится сверху. Из 366 деталей трека можно собрать трассу длиной 549 см.  

";1250;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер: 47*32*8 см Ширина трека и петель: 7 см     В наборе: 366 светящиеся детали трека 2 машинки со светодиодами 1 мертвая петля 2 детали основания петли 5 негнущихся деталей мостика
Конструктор Дикие Шестерни 81 деталь;"Конструктор Дикие Шестерни 81 деталь - это очень удачный аналог знаменитой Funny Bricks. Забавная, увлекательная игрушка придется по душе каждому малышу. Имеет основную платформу с вращательным элементом, который приводит в движение всю систему. А также 13 видов ярких разноцветных элементов. Развивает фантазию, воображение, обучает и просто радует! Качественный, набирающий популярность товар по адекватной цене на которо,м можно хорошо заработать.

";285;;;8;"13=>""34""";False;True;11;;;True;standart;3; Внимание!!! На остатках товар в помятых упаковках! Упаковка: картонная коробка Материал: экологически чистый пластик Количество деталей: 81 шт Возраст: от 3-ох лет Вес: 390 гр Размер: 35*22*6 см Работа: батарейка АА 1шт. (в комплект не входит)  
Светящийся конструктор Light Up Links 158;"Светящийся конструктор Light Up Links - это игрушка со светодиодами, которая развивает воображение, фантазию, мелкую моторику пальцев и пространственное восприятие. Его суть в том, что при конструировании фигур, они начинают светится. Нужно только встяхнуть получившиеся фигуру, она тут же начнем мигать и светится. Конструктор Light Up Links не требует батареек для свечения, влагостойкий и гибкий. Очень перспективный товар, особенно для продажи перед праздниками. 

";365;;;8;"13=>""34""";False;True;11;;;True;standart;3; Светящийся конструктор Light Up Links включает в себя: 12 загорающихся элементов, 60 соединительных трубочек, 52 коротких звена, 34 длинных звена    
"Конструктор Lepin Angry Birds ""Кража яиц из гнезда""";"Новинка этого года Конструктор Lepin Angry Birds ( Аналог LEGO 75823), созданный по мотивам мультика ""The Angry Birds Movie"" будет отличным подарком для вашего ребёнка!!! Пока злые птички Ред и Матильда отвлеклись на минутку, коварный свин-байкер украл самое драгоценное, что есть у птиц - кладку яичек! Ловко загрузив пару белоснежных яиц в багажник своего огромного несуразного байка, усатая свинка-мотоциклист уже готова стартовать от дома-гнезда пернатых! Теперь у Матильды и Реда одна задача - догнать похитителя, разломать его мотоцикл и вернуть свое добро! В наборе Angry Birds помимо трех колоритных мини фигурок и байка есть дом-гнездо, расположенное на дереве и веселый указатель, стоящий возле дома. Сам набор будет интересен как юным любителям игры The Angry Birds Movie, так и взрослым коллекционерам. Все детали совместимы с конструктором LEGO!  

";890;;;8;"13=>""34""";False;True;11;;;True;standart;3; Артикул: 19003 Количество деталей: 305 шт.  Материал: пластик Производство: Китай Тип конструтора: блочный Размер упаковки: 35,5*19*6 см
Гоночный трек 56 pcs;"Гоночный трек  Track Car, в комплекте смашинкой. Это очень популярная новинка! Мы рекомендуем использовать в темноте.  

";180;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор Fire Fichter 5159;;825;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор Town Police #2;;825;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор Town Police #1;;615;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор LELE Minecraft MY WORLD #79073 дракон Края;"Конструктор LELE MY WORLD #79073 дракон Края (Аналог LEGO) по мотивам популярной игры Майнкрафт (Minecraft). В конструкторе 364  детали  из качественного ABS пластика. Все детали совместимы с конструктором LEGO.   Комплектация: 1 мини фигурка Стива с аксессуарами и оружием, 3 странника Края и Дракон Края;  

";1960;;;8;"13=>""34""";False;True;11;;;True;standart;3;" Страна производитель: Китай; Материал: Пластик; Цвет: Разноцветный; Возрастная группа: 8+; Количество деталей: 634; Размер упаковки: 52 х 7,5 х 31 см.  "
Конструктор LELE Minecraft MY WORLD compact 60 деталей;"Конструкторы LELE MY WORLDпо мотивам популярной игры Майнкрафт (Minecraft). В конструкторах 58-62  детали  из качественного ABS пластика. Все детали совместимы с конструктором LEGO!  

";170;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер каждой коробки : 16 х 14 х 4,5 см    В серии 4 набора: LELE-79159-A LELE-79159-B LELE-79159-C LELE-79159-D
Конструктор My Town 16373;;840;;;8;"13=>""34""";False;True;11;;;True;standart;3; 26 деталей
Конструктор Fire Fichter 5150;;830;;;8;"13=>""34""";False;True;11;;;True;standart;3; 15 деталей
Конструктор Fire Fichter 5151;;930;;;8;"13=>""34""";False;True;11;;;True;standart;3; 32 детали
Конструктор Pokemon 39005;;810;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор My World 927A;;810;;;8;"13=>""34""";False;True;11;;;True;standart;3; 475 деталей
Конструктор My World 10392;;1950;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер коробки: 45*30*8 см 519 деталей
Конструктор Ниндзя Бесстрашный Воин;;420;;;8;"13=>""34""";False;True;11;;;True;standart;3; 255 деталей
Конструктор Ninjas Turtle 33005;;555;;;8;"13=>""34""";False;True;11;;;True;standart;3; 154 детали
Конструктор Froze 8002;;600;;;8;"13=>""34""";False;True;11;;;True;standart;3; 205 деталей  
Конструктор Friends 79162;;900;;;8;"13=>""34""";False;True;11;;;True;standart;3; 347 деталей
Конструктор Friends 10491;;900;;;8;"13=>""34""";False;True;11;;;True;standart;3; 202 детали
Конструктор Friends 10168;;1230;;;8;"13=>""34""";False;True;11;;;True;standart;3; 314 деталей Размер коробки: 38*26*6,5 см
Конструктор Friends 10541;;2250;;;8;"13=>""34""";False;True;11;;;True;standart;3; 731 деталь
Магнитный конструктор Magical Magnet 198 деталей;"Совместим с Магформерс!

";6350;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер упаковки: 58*50*9 см   В комплекте: 44 треугольника 40 квадратов 12 пятиугольников 2 шестиугольника 4 равнобедренных треугольника 4 сектора 4 ромба 2 трапеции 8 прямоугольников 6 супер-квадратов 6 супер-треугольников 4 колесные пары 8 частей карусели 54 карточки
Конструктор Nexo Knight 10481;;525;;;8;"13=>""34""";False;True;11;;;True;standart;3; 198 деталей
Гоночный трек 80 pcs;;280;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор Supreme Heroes 10250;;870;;;8;"13=>""34""";False;True;11;;;True;standart;3; 335 деталей
Конструктор Combat Zones 814;;330;;;8;"13=>""34""";False;True;11;;;True;standart;3; 167 деталей
Светящийся конструктор Light Up Links 128;"Светящийся конструктор Light Up Links - это игрушка со светодиодами, которая развивает воображение, фантазию, мелкую моторику пальцев и пространственное восприятие. Его суть в том, что при конструировании фигур, они начинают светится. Необходимо встяхнуть получившиеся фигуру, она тут же начнем мигать и светится. Конструктор Light Up Links не требует батареек для свечения, влагостойкий и гибкий.

";280;;;8;"13=>""34""";False;True;11;;;True;standart;3;      
Конструктор Combat Zones 821;;2025;;;8;"13=>""34""";False;True;11;;;True;standart;3; 843 детали
Магнитный конструктор Magnetic Blocks 20 деталей;"Магнитный объемный конструктор Magnetic blocks состоит из 20 элементов, в которые входят разные по геометрическим формам детали, колеса и магнитные части, скрепляющиеся между собой, как только приблизятся друг к другу. Для строительства ребенку не нужно прилагать усилий, чтобы соединить элементы. Набор упакован в подарочной коробке с ручкой для удобства переноски.

";1080;;;8;"13=>""34""";False;True;11;;;True;standart;3; Производитель: Китай Модель: 8020 В наборе 20 деталей. Размер: 35х10х30 см  
Магнитный конструктор 39 дет. Paw Patrol;;1245;;;8;"13=>""34""";False;True;11;;;True;standart;3;
